reference,intitule_poste,description,experience,divers
3312687,Développeur / Développeuse Big Data (H/F),"Vos missions ? 
En tant qu'Ingénieur Data, vous serez responsable de la conception, du développement et de la maintenance de solutions data au service des différents métiers de l'entreprise .
Aux côtés d'experts métiers, et d'un Leader Technique, vous devrez développer des traitements robustes, monitorés et résilients dans un écosystème Cloud avec des technologies d'industrialisation à l'état de l'art.
Vos traitements répondront à des besoins autour de problématiques complexes dans les domaines d'activité de l'entreprise (Réseau & système IOT, évolutions possibles sur comptage de l'eau, gestion des déchets, etc ?)
La stack Technique :
- MongoDB, PostgreSQL, Power BI
- Python, Scala, R
- Docker, Jenkins
- Gitlab/Github
- Grafana",Expérience exigée de 5 An(s),
3266928,Data - IA Engineer H/F,"POSTE : Data - IA Engineer H/F
DESCRIPTION : Havana IT (Lyon), entité du Groupe Havana, recherche des data/IA engineer pour accompagner le développement de l'activité de ses clients lyonnais.

Vos missions

En tant que Data Engineer IA, vous serez au coeur de la conception et de l'optimisation des architectures data et IA.

Votre rôle inclura :

Conception & Déploiement
- Concevoir et développer des pipelines de données robustes et scalables
- Assurer l'ingestion, le stockage et la transformation de grandes quantités de données
- Mettre en place des architectures cloud adaptées aux besoins des LLM et RAG

Industrialisation & Optimisation
- Déployer des modèles d'IA générative et assurer leur scalabilité et performance
- Implémenter des stratégies de vector search et d'optimisation pour les RAG
- Automatiser les workflows de MLOPS et DataOps

Sécurité & Qualité
- Gérer la gouvernance des données et assurer leur qualité et conformité
- Optimiser les performances des bases de données et des API d'accès aux modèles IA

Stack technique
- Langages : Python, SQL, Spark
- Cloud : AWS, GCP ou Azure (BigQuery, S3, Lambda)
- Data Engineering : Airflow, DBT, Kafka, Snowflake, Databricks
- LLM & RAG : LangChain, Hugging Face, Pinecone, FAISS
- MLOPS : MLflow, Docker, Kubernetes
Nous rejoindre c'est :
- Être acteur des projets de transformation digitale et d'amélioration SI de nos clients ;
- Intégrer une équipe et bénéficier d'un management de proximité ;
- Être moteur dans le développement de notre structure ;
- Apporter sa contribution à nos projets d'incubation de Startups (Lab) ;
- Avoir la possibilité de développer ses compétences à travers diverses formations ;
- Pouvoir échanger sur des sujets à la pointe de la technologie lors d'événements ; (Workshop/Afterwork) ;
- Être soucieux de l'environnement et du bien-être au travail
PROFIL : - Diplôme d'ingénieur/Bac +5 en informatique
- Expérience de 4 ans minimum en tant que Data Engineer
- Solide maîtrise des pipelines data et du cloud
- Intérêt marqué pour l'IA et expérience sur des projets LLM ou RAG
- Capacité à travailler en mode agile et en équipe

Ce poste n'est pas ouvert à l'alternance ou aux stages ! 
 
Poste ouvert aux personnes en situation d'handicap ! 
 
Intéressé(e) ?  
Voici notre processus de recrutement après envoi de votre CV :  
Un 1er échange téléphonique avec notre équipe recrutement, Vincent ou Jules, d'environ 10 minutes  
Un 2ème échange téléphonique avec notre business manager, Jean-Marie, Alex ou Constance 
Un entretien physique ou en visio avec le client final et le business manager en charge de vous accompagner",Expérience exigée,
3273123,Développeur Big Data H/F,"POSTE : Développeur Big Data H/F
DESCRIPTION : Intégrer nos équipes, c'est aussi l'opportunité d'intervenir au sein de notre delivery center assurance et participer à des sujets nationaux et internationaux. 
- Communauté d'experts pour vous accompagner dans votre montée en compétence 
- Un management personnalisé assuré par un/une gestionnaire de carrière 
- Une licence Udemy Business pour tous les collaborateurs 
- Possibilité de télétravailler plusieurs jours par semaine 
- Événements techniques et festifs ! 
- Tickets restaurant/ mutuelle 
- Prime de parrainage 
- Avantage CSE 
- Certification top employeur 2024 
 
A compétences égales, ce poste est ouvert aux personnes en situation de handicap. 
 
Si vous avez un réel intérêt pour les projets innovants, postulez à cette offre et trouvez le poste de vos rêves !
PROFIL : Profil recherché :

Compétences clés :
- Expérience significative en maintenance préventive
- Connaissance des outils de gestion de code et de déploiement
- Bases solides en agilité
- Conception de solutions pour le traitement de gros volumes de données sécurisées
- Maîtrise des solutions de stockage et manipulation de données
- Expérience dans une entreprise de distribution électrique (un plus)

Expérience :
- 3 ans minimum d'experience requise (hors stages et alternance)",Expérience exigée,
3275079,Développeur Big Data H/F,"POSTE : Développeur Big Data H/F
DESCRIPTION : Klanik recherche pour l'un de ses clients, un développeur Big Data confirmé/senior pour intégrer une équipe qui se compose de plus de quarante compétences, réparties en six sous équipes, qui a comme périmètre un ensemble de thématiques métiers et une plateforme technique.

MISSIONS ET ROLE

Les missions tournent autour de 4 axes :
o Apporter une expertise en Big Data (Spark) pour faciliter la manipulation des données
o Définir les solutions techniques permettant le traitement massif de données
o Mettre en place des solutions de stockage de données (SQL, NoSQL, etc.)
o Veiller la sécurisation et la clarté des pipelines de données pour faciliter l'analyse et la transformation

Activités principales
o Assure la création, la maintenance, l'optimisation et la sécurité des bases de données
o Détecte, propose et suit les optimisations des requêtes SQL, PL/SQL afin de garantir les meilleures performances de nos applications métier
o Assure le support aux équipes de développement afin d'identifier et proposer des solutions performantes SGBD les mieux adaptées d'un point de vue métier
o Apporte une expertise transverse sur Spark

Activités secondaires
o Veille technologique sur les outils utilisés au sein du projet
o Partage et formation sur les guides de bonnes conduites
o Accompagnement des autres développeurs Spark sur le projet

Stack technique de l'équipe
o Big Data : Spark, Hive, Indexima.
o Stockage : Oracle, CEPH S3 (parquet).
o Langages : Java, Python, PL/SQL, Shell.
o CI/CD : Ansible, Terraform, Jenkins, GIT.
o ETL : Informatica.
o Dataviz : Tableau Server.
o Ordonnanceur : Control-M.
PROFIL : Vous êtes titulaire d'un Bac +5 et justifiez d'une expérience de 4 ans minimum sur ce rôle et notamment autour de spark.

Vous faîtes preuve d'autonomie, de rigueur et êtes force de proposition.
Vous avez une bonne capacité d'analyse et de synthèse ainsi qu'un fort esprit d'équipe.

Vous êtes capable de challenger les solutions et architectures techniques permettant le traitement de volumes importants de pipelines de données suffisamment sécurisés et lisibles.
Les solutions de stockage de données n'ont pas de secret pour vous ainsi que les technologies du Big Data permettant le traitement et la manipulation de données.

Vous vous reconnaissez dans cette description, n'hésitez pas à postuler !",Expérience exigée,
3276113,Data Scientist Senior H/F,"POSTE : Data Scientist Senior H/F
DESCRIPTION : Intégrer nos équipes, c'est aussi l'opportunité d'intervenir au sein de notre delivery center assurance et participer à des sujets nationaux et internationaux. 
- Communauté d'experts pour vous accompagner dans votre montée en compétence 
- Un management personnalisé assuré par un/une gestionnaire de carrière 
- Une licence Udemy Business pour tous les collaborateurs 
- Possibilité de télétravailler plusieurs jours par semaine 
- Événements techniques et festifs ! 
- Tickets restaurant/ mutuelle 
- Prime de parrainage 
- Avantage CSE 
- Certification top employeur 2024 
 
A compétences égales, ce poste est ouvert aux personnes en situation de handicap. 
 
Si vous avez un réel intérêt pour les projets innovants, postulez à cette offre et trouvez le poste de vos rêves !
PROFIL : Profil recherché
Nous recherchons des Data Scientists expérimentés, avec une forte expertise en industrialisation de modèles IA et gestion des pipelines de données. Vous êtes en mesure de travailler sur des environnements cloud complexes (GCP, AWS) et maîtrisez les technologies DEVOPS nécessaires à la mise en production des modèles IA.

Soft skills et aptitudes :
- Capacité à analyser des besoins complexes et être force de proposition
- Esprit de synthèse et capacité d'anticipation des impacts et des risques
- Écoute, communication et travail en équipe
- Capacité d'adaptation et autonomie
- Sens de la responsabilité et rigueur
- Excellente communication écrite et orale

Votre capacité à collaborer avec des équipes pluridisciplinaires, à vulgariser des concepts complexes et à anticiper les évolutions technologiques sera essentielle pour réussir dans ce poste.

Vous pouvez également justifier de 7 ans d'expérience minimum dans un poste similaire.",Expérience exigée,
3311995,Développeur / Développeuse Big Data (H/F),"Vos missions ?
En tant que Lead Ingénieur Data, vous serez responsable de la conception, du développement et de la maintenance de solutions data au service des différents métiers de l'entreprise .
Aux côtés d'experts métiers, et d'un Leader Technique, vous devrez développer des traitements robustes, monitorés et résilients dans un écosystème Cloud avec des technologies d'industrialisation à l'état de l'art.
Vos traitements répondront à des besoins autour de problématiques complexes dans les domaines d'activité de l'entreprise (Réseau & système IOT, évolutions possibles sur comptage de l'eau, gestion des déchets, etc ?)
La stack Technique :
MongoDB, PostgreSQL
Python (lib : Pandas, Scikit Learn, Tensorflow, Matplotlib, Plotly...)
Scala, R,
Docker, Jenkins
Gitlab/Github
Grafana",Expérience exigée de 2 An(s),
3371543,Data Analyst expert SAP F/H - Informatique de gestion (H/F),"Descriptif du poste:

VOTRE PROJET : Positionné à la DSI, vous mettez en œuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d'organiser, synthétiser et traduire efficacement des données.
VOS MISSIONS : 
-    Fournir un appui analytique à la conduite d'exploration et à l'analyse complexe de données,
-    Créer des algorithmes de recherche de données qui permettent d'explorer les données utiles,
-    Procéder à l'industrialisation du procédé pour les données les plus intéressantes,
-    Organiser, synthétiser et traduire les informations pour faciliter la prise de décision,
-    Gérer les opérations et l'administration, la modélisation et l'architecture des gisements de données,
-    S'assurer que les bases de données existantes fonctionnent bien et en cohérence.
 

Profil recherché:


-    Diplôme d'école d'ingénieurs (bac+5) ou Master management des systèmes d'information et d'organisation.,
-    Anglais professionnel confirmé,
-    Maitrise SAP,
-    Capacité à travailler au sein d'équipes pluridisciplinaires,
-    Rigueur et organisation,
-    Curiosité intellectuelle et force de proposition.",Expérience exigée de 3 An(s),
3371984,"Alternance Data Analyst Junior F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Passionné par l'analyse de données ?
Vous recherchez une alternance dans le cadre de votre Master pour la rentrée de septembre 2025 ?
 
Alors n'attendez plus, candidatez et rejoignez-nous en tant que Data Analyst Junior (F/H), à partir de septembre 2025 pour une mission de 1 an, basée idéalement à LYON (69) ou à ARCUEIL (94 ? RER B Laplace). 

VOTRE CHALLENGE
 Au sein de l'équipe de Gaëtan, Directeur de la Performance Commerciale, vous apporterez votre soutien à l'équipe Performance Commerciale sur des missions d'analyse de données pour les différents services du pôle commercial GMP Building (Direction des ventes, service support avant-vente, Marketing Produits, Marketing Communication Clients, ...).
 
Dans le cadre de votre mission, vous serez particulièrement impliqué sur des analyses spécifiques liées au Pricing et au suivi de la politique commerciale, contribuant ainsi à l'optimisation de nos stratégies commerciales.
 
Plus concrètement, votre mission s'articulera autour des activités suivantes :
* 
Réalisation d'analyses de performance et propositions de recommandations stratégiques
* 
Suivi et optimisation de la politique Pricing
* 
Contribution aux études commerciales et marketing pour accompagner la prise de décision
* 
Production de reportings et tableaux de bord
 
La mission est pour une durée de 1 an (2 ans selon parcours et profil), avec pour rythme d'alternance souhaité des semaines complètes en entreprise.

Profil recherché:

VOS ATOUTS ?
Vous préparez un master en alayse de données ou vous êtes en école de commerce avec une spécialisationData.
Votre curiosité naturelle vous permet d'appréhender efficacement les sujets, enjeux et process dans un environnement dynamique et ouvert. Reconnu pour votre rigueur et votre fiabilité, vous démontrez une capacité à traiter les données avec précision et à respecter les délais impartis.
Aussi, si vous êtes autonome et organisé, que vous aimez travailler en équipe avec différents interlocuteurs et que vous savez vous adapter, c'est un vrai plus !
Vous maîtrisez Excel et l'ensemble du pack office 365. Vous avez de bonnes connaissances dans les outils d'exploration et de visualisation de données (Power BI en particulier).
 
CETTE MISSION EST FAITE POUR VOUS !
Alors communiquez-nous votre CV sans attendre ! (en précisant votre rythme d'alternance)",Débutant accepté,
3377641,Responsable Data H/F,"POSTE : Responsable Data H/F
DESCRIPTION : CE QU'ON ATTEND DE VOUS :

Au sein de la Direction du Système d'Informations (60 personnes), rattaché(e) au Directeur du Système d'Informations vous aurez pour missions principales de :
- Définir, structurer et coordonner la stratégie Data en lien avec les enjeux de l'entreprise,
- Piloter la gouvernance des données et assurer leur qualité et fiabilité,
- Organiser la collecte et l'analyse des données internes et externes, et mettre en place les moyens techniques, humains et d'organisation afin d'optimiser les processus et les décisions de l'entreprise en exploitant ses datas,
- En lien avec le Data Protection Office, il assure la conformité avec les réglementations en vigueur sur l'usage des données,
- Piloter au jour le jour la bonne exécution de ses projets tout en proposant des plans d'action en cas de dérive.
- Être le garant de l'amélioration continue de son équipe.

Dans le cadre d'une création de poste, et dans l'optique de l'accélération de la transformation de la DSI, le Responsable Data devra structurer et organiser son équipe et ses activités permettant d'apporter une vision Data Driven dans les décisions du Groupe Ocea.
ON N'A PAS FINI DE VOUS CONVAICNRE :

Groupe OCEA est une société dynamique, innovante, conviviale où la bonne humeur et l'esprit d'équipe sont présents au quotidien.

Elle vous propose :
- Un Groupe, 3 expertises sur un marché porteur
- Un accord RSE et un Accord Télétravail
- Un parcours d'intégration
- Un environnement de travail passionnant et stimulant
- Un plan de développement individualisé avec la possibilité d'évoluer en interne
- Un Comité Social et Économique
- Une carte tickets restaurant
- Une mutuelle familiale et une surcomplémentaire santé
- Une prise en charge des frais de transport public à hauteur de 90%.

Et parce qu'OCEA Smart Building est une société engagée, elle a signé un accord RSE et poursuit, sa volonté de favoriser l'embauche des personnes en situation de handicap.

Alors séduit(e) ? N'attendez plus et faites-nous parvenir votre candidature en 1 clic en envoyant votre CV et lettre de motivation.
PROFIL : Et parce que vous êtes le candidat idéal, de formation Bac +5 en informatique ou cycle universitaire, justifiant de minimum 5 ans dans un poste équivalent.

Ce poste nécessite une grande rigueur, une maîtrise de la stratégie et de la gouvernance des données, une communication et une collaboration importantes.",Expérience exigée,
3399091,Alternance Data Analyst Junior H/F,"POSTE : Alternance Data Analyst Junior H/F
DESCRIPTION : Passionné par l'analyse de données ?

Vous recherchez une alternance dans le cadre de votre Master pour la rentrée de septembre 2025 ?

Alors n'attendez plus, candidatez et rejoignez-nous en tant que Data Analyst Junior (F/H), à partir de septembre 2025 pour une mission de 1 an, basée idéalement à LYON (69) ou à ARCUEIL (94 - RER B Laplace).

VOTRE CHALLENGE

Au sein de l'équipe de Gaëtan, Directeur de la Performance Commerciale, vous apporterez votre soutien à l'équipe Performance Commerciale sur des missions d'analyse de données pour les différents services du pôle commercial GMP Building (Direction des ventes, service support avant-vente, Marketing Produits, Marketing Communication Clients).

Dans le cadre de votre mission, vous serez particulièrement impliqué sur des analyses spécifiques liées au Pricing et au suivi de la politique commerciale, contribuant ainsi à l'optimisation de nos stratégies commerciales.

Plus concrètement, votre mission s'articulera autour des activités suivantes :

- Réalisation d'analyses de performance et propositions de recommandations stratégiques

- Suivi et optimisation de la politique Pricing

- Contribution aux études commerciales et marketing pour accompagner la prise de décision

- Production de reportings et tableaux de bord

La mission est pour une durée de 1 an (2 ans selon parcours et profil), avec pour rythme d'alternance souhaité des semaines complètes en entreprise.
PROFIL : VOS ATOUTS ?

Vous préparez un master en alayse de données ou vous êtes en école de commerce avec une spécialisationData.

Votre curiosité naturelle vous permet d'appréhender efficacement les sujets, enjeux et process dans un environnement dynamique et ouvert. Reconnu pour votre rigueur et votre fiabilité, vous démontrez une capacité à traiter les données avec précision et à respecter les délais impartis.

Aussi, si vous êtes autonome et organisé, que vous aimez travailler en équipe avec différents interlocuteurs et que vous savez vous adapter, c'est un vrai plus !

Vous maîtrisez Excel et l'ensemble du Pack Office 365. Vous avez de bonnes connaissances dans les outils d'exploration et de visualisation de données (Power BI en particulier).

CETTE MISSION EST FAITE POUR VOUS !

Alors communiquez-nous votre CV sans attendre ! (en précisant votre rythme d'alternance)

Ref : xhix2doc3e",Expérience exigée,
3402073,Data Analyst H/F,"POSTE : Data Analyst H/F
DESCRIPTION : Si vous aimez les bons produits, le bon sens et la bonne ambiance, rejoignez-nous.

Au programme, des missions aux petits oignons :

Au sein de l'équipe finance et performance de l'univers fruits et légumes, vous êtes rattaché au Responsable du pôle.

Vos missions principales sont les suivantes :

* Créer des tableaux de bord adaptés aux besoins des différentes équipes (achats, magasins, direction, etc.),
* Réaliser des analyses de données ad hoc pour répondre aux demandes ponctuelles de chaque service,
* Accompagner et former les utilisateurs sur les outils développés,
* Être le point de référence de la Business Unit Fruits et Légumes sur l'ensemble des sujets data (référentiels, calcul d'indicateurs, outil de restitution),
* Participer à la définition de la feuille de route stratégique Data.
PROFIL : Vous êtes :

* Issu idéalement du secteur agro-alimentaire, vous justifiez d'une expérience de 2 ans minimum dans une fonction similaire,
* En maîtrise d'outils d'analyse de données (idéalement power BI),
* Orienté business, votre aisance relationnelle vous permet de travailler en équipe et d'interagir avec différents interlocuteurs,
* Reconnu pour votre rigueur, votre réactivité et votre dynamisme.

Vous souhaitez intégrer une entreprise offrant de belles perspectives d'évolution ? Postulez et rejoignez les passionnés du bon !

Parce que vous ne comptez pas pour des prunes, nous vous proposons :

* Un poste à pourvoir en CDI, basé à Chaponnay (69) - Notre site est peu desservi par les transports en commun.
* Une rémunération attractive et évolutive selon profil et expérience,
* Une prime individuelle annuelle,
* Un statut cadre avec 12 jours de RTT,
* 520 € de bons d'achat par an,
* Des tickets restaurant,
* Des primes de cooptation jusqu'à 1000 € brut par recrutement,
* Un organisme de formation interne qui accompagne votre développement,
* Une mutuelle familiale avantageuse.

Mais aussi L'opportunité de vivre une expérience riche, avec autonomie, confiance et agilité au quotidien.",Débutant accepté,
3408437,Tech Lead Data Engineer H/F,"POSTE : Tech Lead Data Engineer H/F
DESCRIPTION : Nous avons la conviction que chaque entreprise peut adopter une démarche innovante de gestion de la donnée et créer des cas d'usage disruptifs en réduisant l'impact écologique et en diminuant la dette technique.
Nous comptons plus de 840 collaborateurs en mission chez nos clients grands comptes dans tout secteur d'activité : banque, assurance, santé, énergie, e-commerce, automobile, luxe, retail, transport, agritech
Vos missions
Nous recherchons un(e) Tech Lead Data Engineer capable de trouver des solutions innovantes et robustes à l'ensemble des problématiques Data.
Vous aurez la charge de :
- Assurer la mise en oeuvre de l'accès, du référencement et de la qualité de la donnée
- Assurer l'industrialisation, la supervision et l'intégration des solutions
- Rédiger les normes de développement
- Participer à la rédaction du manuel d'exploitation
- En tant que Tech Lead, vous savez vous présenter et promouvoir des architectures data face au client. Vous savez identifier et comprendre les besoins métiers.
- Vous savez identifier et comprendre les besoins métiers.
- Vous formez, encadrez et faites évoluer les consultants juniors
- Vous participez à la réponse aux appels d'offres (avant-vente)
Vos compétences
En tant que Tech Lead Data Engineer vous maîtrisez :
- Le langage SQL
- Un langage objet (Python, JAVA, Scala)
- Un framework de calcul distribué
- Un bus de messages : Kafka, RabbitMQ
- Des Outils d'alimentation de données : Talend, Matillion, Stambia
- Des Moteurs de recherche : suite ELK (ElasticSearch, Logstash, Kibana), SolR, services Cloud
- Le Stockage des données : stockage objet et/ou distribué (HDFS, deltalake ou blob/S3)
- L'intégration continue (Git, JUnit, SonarQube, Jenkins)
- Un cloud provider (AWS, GCP, Azure) ou une distribution Big Data (Hortonworks, Cloudera, Datastax)
- Les concepts de la modélisation relationnelle et non-relationnelle
Votre profil
Diplômé(e) d'une école d'ingénieur ou d'une université, vous justifiez d'une expérience professionnelle d'au minimum 5 ans dans un contexte projet Data. Rigoureux(se), proactif(ve) et autonome vous restez en veille technologique et êtes force de proposition. Vous êtes capable de prendre de la hauteur et vous adapter aux enjeux du projet.
Avantages à travailler chez JEMS
- Une JEMS Académie au service de votre montée en compétences (formations et certifications sur les technologies de pointe)
- Un accompagnement personnalisé et un management de proximité pour vous proposer des évolutions de carrière
- Une intégration dans des communautés techniques et de pratiques JEMS (encadrement par des experts, échanges sur les bonnes pratiques, favoriser l'innovation)
- Une entreprise reconnue ""Great Place To Work""
- Des événements et séminaires inoubliables, des soirées d'agence conviviales
Mobilité
Une mobilité nationale et internationale pour vous accompagner dans vos projets de vie.
Diversité
Le Groupe JEMS porte fièrement sa valeur ""Diversité"" en se mobilisant pour l'inclusion et l'égalité des chances et en luttant contre toutes formes de discrimination.
Tous nos postes sont ouverts aux personnes en situation de handicap.
PROFIL :",Expérience exigée,
3425072,"Data Steward pour le Secteur Industriel en Région Lyonnaise F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Vous êtes passionné par la gestion et la gouvernance des données ? Vous souhaitez évoluer dans un environnement industriel stimulant et contribuer à l'optimisation des processus de qualité et de conformité des données ?
Nous recherchons un Data Steward pour accompagner notre client dans le secteur de l'industrie. Vous serez le garant de la fiabilité, de l'accessibilité et de la conformité des données, en collaborant étroitement avec les équipes métiers et IT.
Missions :
* Assurer la qualité et la cohérence des données (contrôle, nettoyage, normalisation).
* Mettre en place des processus de gouvernance et garantir la conformité réglementaire (RGPD, ISO 27001).
* Collaborer avec les équipes IT et métiers pour structurer et documenter les référentiels de données.
* Accompagner et former les équipes sur les bonnes pratiques de gestion des données.

Profil recherché:

Vos compétences :
* Expertise en gestion et qualité des données (MDM, ETL, Data Catalog).
* Maîtrise des bases de données SQL / NoSQL et des outils BI (Power BI, Tableau.).
* Bonne connaissance des architectures Big Data & Cloud (AWS, Azure, GCP).
* Compréhension des enjeux business et métiers liés aux données.
* Expérience des méthodologies Agile et des normes de conformité (RGPD, BCBS 239).",Débutant accepté,
3447143,Data analyst / Analyste de données (H/F),"RESPONSABILITÉS : 

Le poste se situe dans l'équipe du Centre d'Excellence en Pathogènes Respiratoires (CERP, https://ciri.ens-lyon.fr/cerp) basé à Lyon, France. Le CERP développe des recherches pour appuyer la prise de décision liée aux pathogènes respiratoires au sein des Hospices Civils de Lyon et de l'Université Claude Bernard Lyon 1. Le CERP fait partie du Centre International de Recherche en Infectiologie (CIRI).
Le CERP va héberger sur son site Internet un tableau de bord permettant d'afficher la circulation mondiale du virus de la grippe et du virus respiratoire syncytial. Cette plateforme, construite à partir de web scraping, est destinée à un large public, comprenant la population générale, les chercheurs et les décideurs politiques. L'algorithme de web scraping a besoin d'un support régulier pour maintenir à jour la plateforme alimentée en données. Vos tâches consisteront notamment à réaliser la maintenance la plateforme et à effectuer des analyses de données pour des projets de recherche en collaboration.
Ce poste sera clé pour développer les activités du CERP autour de l'analyse de données pour soutenir les différentes études et projets. Il s'agit d'une opportunité unique pour un analyste de données de rejoindre une récente équipe de recherche motivée et expérimentée dans un environnement de travail international pour relever les principaux défis de santé liés aux maladies respiratoires. Cet expert travaillera en collaboration sur des études analytiques innovantes de haute qualité et pourra bénéficier de plusieurs grandes bases de données, de plateformes d'études et de partenariats externes avec d'autres partenaires universitaires, gouvernementaux et industriels.
Tâches essentielles :
Web scraping
Gestion de webscrapers, des scripts Python qui récupèrent automatiquement les données épidémiologiques des sites web publics. Vous serez responsable de vous assurer du fonctionnement des scripts chaque semaine, les données seront utilisées par d'autres projets CERP.
Analyse de données
 - Analyser des données à l'aide de méthodes statistiques ou de machine learning, par exemple pour identifier les tendances des séries chronologiques ou extraire des variables importantes dans la classification.
 - Interpréter les résultats des modèles.
 - Générer des rapports (éventuellement des publications scientifiques) et des visualisations de données résumant vos analyses.
 - Communiquer les résultats au sein de l'équipe et lors de réunions scientifiques (avec des partenaires externes ou en congrès).

PROFIL RECHERCHÉ : 

Compétences techniques :
 - Expérience en Python, incluant le scraping notamment avec Selenium et BeautifulSoup.
 - Système de gestion de versions GIT.
 - Amazon Web Services (AWS) : expérience notamment dans l'utilisation de dockers.
 - Bonnes pratiques de codage.
 - Le logiciel R et la connaissance des solutions de création de sites Web et de tableaux de bord sont un plus.
 
Compétences :
 - Anglais écrit courant.
 - Approche systématique de la résolution des problèmes, y compris l'identification des causes profondes et des solutions.
 - Intégrité, curiosité, proactivité, prudence, esprit d'auto-organisation et orienté vers les solutions.
 - Bonne prévoyance, bon jugement et capacité à travailler de manière indépendante.
 - Approche enthousiaste et professionnelle du travail avec des collègues et des collaborateurs externes. Capacité à coopérer de manière inter-fonctionnelle et à identifier des solutions multidisciplinaires.
Poste à pouvoir dès que possible
Le poste est ouvert aux contractuels de catégorie A - IGE
Rémunération mensuelle brute: 2471 €
En rejoignant l'Université Lyon 1, vous pourrez bénéficier de :
 - 48.5 jours de congés annuels, dès la première année universitaire, aménagement possible du temps de travail sur 4.5 jours, 37h30 / semaine, la possibilité d'avoir des jours de télétravail réguliers et/ou ponctuels, sous conditions,
 - la participation au remboursement des frais de transport, forfait mobilité durable, aux frais complémentaire santé à hauteur de 15€/mois,...
 - l'accès à des prestations d'action sociale, accès aux services de la crèche et du centre de loisirs situés sur le campus Lyon Tech La Doua
 - l'accès aux activités artistiques et sportives de l'université, tarifs préférentiels loisirs,
 - possibilités de développement professionnel en interne (concours, mobilité, formation continue et parcours professionnel)
 - restauration sur le campus avec une participation financière de l'université",Débutant accepté,
3487041,"Architecte Infrastructure Cloud F/H - Système, réseaux, données (H/F)","Descriptif du poste:


Au sein d'i-TEAM, DSI du groupe La Poste, la Direction Infrastructure Datacenter et Cloud a comme missions :

· Construire, piloter, mettre en œuvre et faire évoluer le programme Infrastructure du Groupe selon le cadre d'Architecture

· Définir et accompagner les transformations d'infrastructure nécessaires au développement des projets et solutions métiers du Groupe et de ses partenaires

· Entretenir et faire fonctionner les infrastructures du SI du groupe La Poste.

Au sein de la direction, le Département Architecture a pour mission principale de définir, concevoir et de piloter la construction du programme d'infrastructures, en phase avec les besoins métiers de ses partenaires et selon la stratégie d'architecture SI du groupe.

Dans ce contexte, vous serez :

· Un acteur majeur dans la construction de nos solutions Cloud

· L'interlocuteur privilégié des équipes projets de nos partenaires pour les accompagner dans la définition, la construction de solutions techniques et pour faciliter leur transition vers les technologies Cloud.

· Il peut être amené à prendre la responsabilité d'une offre de services techniques qui consiste à :

o Définir, maintenir sa roadmap et sa trajectoire d'évolution,

o Planifier les évolutions et animer l'équipe en charge de sa construction,

o Être le référent et communiquer autour de son offre de services.

Profil recherché:


De formation niveau BAC +5 et spécialisé en définition d'architecture SI, vous maitrisez l'ensemble des technologies d'infrastructures et en particulier celles du Cloud (Openshift, VmWare, Nutanix, cloud public).

Vous avez démontré votre capacité à travailler dans des contextes projets exigeants et agiles (DevOPS, SafE).

Vous possédez le sens du service et un très bon relationnel pour pouvoir accompagner nos partenaires dans leur transformation digitale.

L'animation d'équipes techniques est un plus.

Vous avez au minimum 3 d'expérience sur un poste similaire.

La maîtrise de l'anglais technique est indispensable.

Vous serez amené à vous déplacer ponctuellement sur de courtes durées sur d'autres sites du groupe en France.

Vous vous sentez l'âme d'un architecte infrastructure Cloud au sein du Groupe La Poste, vous vous reconnaissez dans ces quelques lignes, alors n'hésitez plus et rejoignez-nous!. Votre environnement de travail :
I-Team, c'est une famille bienveillante qui saura vous chouchouter :

· Possibilité de télétravail : 2 jours

· 9 semaines de congés-RTT 

· Avantages sociaux : Famille, transport, vacances, quotidien, logement.

· Une entreprise à mission + des valeurs = 1ère entreprise mondiale en termes de RSE : la classe non ?

· Une rémunération attractive, basée sur votre expérience et une étude de marché",Débutant accepté,
3488270,"Architecte Infrastructure Cloud à Massy F/H - Système, réseaux, données (H/F)","Descriptif du poste:

Nous recherchons un Architecte Infrastructure Cloud pour rejoindre le Centre de Services d'un grand compte et participer à la conception et à la modernisation des infrastructures IT.
Vos missions :
* Concevoir et mettre en place des architectures robustes et évolutives
* Garantir la cohérence entre les besoins métiers et les solutions techniques
* Définir les standards et bonnes pratiques en matière d'infrastructure IT
* Accompagner la modernisation des applications (containerisation, refactoring, replatforming)
* Piloter les stratégies DevSecOps et CI/CD
* Animer le comité d'architecture et contribuer aux comités techniques

Profil recherché:

Expérience en conception et gestion d'infrastructures IT (réseaux, serveurs, stockage, cloud, virtualisation, cybersécurité)
Maîtrise des technologies Cloud (Kubernetes, Docker, CI/CD, DevSecOps)
Connaissance des architectures applicatives et des environnements DevOps
Expérience en gestion de projet et en conseil technologique",Débutant accepté,
